SSP126__EMISSIONS____________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTENT:           GLOBAL ANNUAL EMISSIONS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUN:              SSP126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSP126 CONTACT:   Jiacan Yuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE:              24/07/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAGICC-VERSION:    6.3.09, 25 November 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE PRODUCED BY:  Jiacan Yuan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCUMENTATION:     Coming soon...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMIP5 INFO:        http://cmip-pcmdi.llnl.gov/cmip5/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCP DATABASE:      http://www.iiasa.ac.at/web-apps/tnt/RcpDb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FURTHER INFO:      For data sources, aknowledgements and further information, see http://www.pik-potsdam.de/~mmalte/rcps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE:              THIS EMISSION DATASET ONLY TO BE USED FOR EMISSION-DRIVEN ESM CMIP5 RUNS, AS CONCENTRATIONS, NOT EMISSIONS, SHALL BE PRESCRIBED IN MAIN CMIP6 RUNS.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                   SSP126 starts 2014?; 20th century data and earlier is provided for convenience.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMN_DESCRIPTION________________________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. FossilCO2        - Fossil & Industrial CO2 (Fossil, Cement, Gas Flaring & Bunker Fuels)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. OtherCO2         - Landuse related CO2 Emissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. CH4              - Methane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. N2O              - Nitrous Oxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. - 11.            - Tropospheric ozone precursors, aerosols and reactive gas emissions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12. - 23.           - Flourinated gases controlled under the Kyoto Protocol, (HFCs, PFCs, SF6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24. - 39.           - Ozone Depleting Substances controlled under the Montreal Protocol (CFCs, HFCFC, Halons, CCl4, MCF, CH3Br, CH3Cl)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
&THISFILE_SPECIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_DATACOLUMNS,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_FIRSTYEAR,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_LASTYEAR,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_ANNUALSTEPS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_FIRSTDATAROW,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_UNITS,SEE ROW 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_DATTYPE,RCPDAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMN:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
UNITS:,GtC/yr,GtC/yr,MtCH4/yr,MtN2O-N/yr,MtS/yr,MtCO/yr,Mt/yr,MtN/yr,Mt/yr,Mt/yr,MtN/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr,kt/yr
v YEARS/GAS >,FossilCO2,OtherCO2,CH4,N2O,SOx,CO,NMVOC,NOx,BC,OC,NH3,CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL
1750,0.083719,19.019783,0.054741,1.220024,348.527359,60.021826,3.875934,2.097771,15.447668,5.705157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1751,0.085212,18.915109,0.055776,1.20419,343.926367,59.088126,3.83244,2.072926,15.188717,5.649529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1752,0.086733,18.889712,0.056829,1.198558,341.809034,58.631997,3.833039,2.064312,15.034476,5.616044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1753,0.088281,19.121377,0.057903,1.205347,343.675456,59.026349,3.816467,2.071951,15.182545,5.667067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1754,0.089858,19.509061,0.058997,1.231033,349.815625,60.269945,3.845994,2.09935,15.558773,5.777215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755,0.091465,19.500455,0.060112,1.221178,348.144668,59.824934,3.885302,2.099173,15.358183,5.718579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1756,0.093277,19.462537,0.061247,1.209592,343.323152,58.946829,3.778832,2.068915,15.195777,5.701057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757,0.094943,20.023541,0.062404,1.253732,355.941892,61.263693,3.997046,2.147924,15.704819,5.803967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1758,0.09664,19.934005,0.063583,1.239872,351.839749,60.434612,3.950236,2.120611,15.514612,5.760967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1759,0.098368,20.141466,0.064784,1.236764,351.507763,60.445263,3.88121,2.117267,15.574013,5.802554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1760,0.100127,20.416797,0.066008,1.248873,354.418285,61.051725,3.869081,2.127804,15.819064,5.870157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1761,0.102181,20.45599,0.067255,1.254591,354.707968,60.984227,3.946413,2.137757,15.691916,5.831387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1762,0.104006,20.451687,0.068526,1.233252,349.249697,60.027089,3.804284,2.101748,15.525935,5.824451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1763,0.105864,20.545179,0.069821,1.240496,350.059335,60.127066,3.844812,2.10703,15.526762,5.820692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
